Date,Total Value
2023-06-25,2046
2023-06-26,1550
2023-06-27,3622
2023-06-28,2976
2023-06-29,1272
2023-06-30,5031
2023-07-01,2657
2023-07-02,3676
2023-07-03,1590
2023-07-04,3009
2023-07-05,5694
2023-07-06,3024
2023-07-07,1075
2023-07-08,3625
2023-07-09,2630
2023-07-10,4905
2023-07-11,5719
2023-07-12,1817
2023-07-13,2884
2023-07-14,2213
2023-07-15,4483
2023-07-16,4970
2023-07-17,3951
2023-07-18,2333
2023-07-19,3375
2023-07-20,3526
2023-07-21,6635
2023-07-22,13320
2023-07-23,8944
2023-07-24,13030
2023-07-25,8453
2023-07-26,4789
2023-07-27,326
2023-07-28,2749
2023-07-29,1707
2023-07-30,2258
2023-07-31,4721
2023-08-01,7917
2023-08-02,3298
2023-08-03,4469
2023-08-04,2991
2023-08-05,3265
2023-08-06,2903
2023-08-07,2753
2023-08-08,5196
2023-08-09,7228
2023-08-10,5064
2023-08-11,4865
2023-08-12,6271
2023-08-13,4503
2023-08-14,9148
2023-08-15,2330
2023-08-16,1658
2023-08-17,4339
2023-08-18,994
2023-08-19,4139
2023-08-20,2840
2023-08-21,4482
2023-08-22,4797
2023-08-23,4199
2023-08-24,12146
2023-08-25,18999
2023-08-26,13491
2023-08-27,10347
2023-08-28,15175
2023-08-29,9401
2023-08-30,14443
2023-08-31,16471
2023-09-01,10293
2023-09-02,5067
2023-09-03,6117
2023-09-04,9987
2023-09-05,20048
2023-09-06,14815
2023-09-07,11383
2023-09-08,11862
2023-09-09,7089
2023-09-10,9975
2023-09-11,11992
2023-09-12,4984
2023-09-13,7578
2023-09-14,7867
2023-09-15,9505
2023-09-16,4112
2023-09-17,9180
2023-09-18,12208
2023-09-19,12629
2023-09-20,14884
2023-09-21,13409
2023-09-22,10290
2023-09-23,11552
2023-09-24,7094
2023-09-25,11785
2023-09-26,12241
2023-09-27,11906
2023-09-28,9772
2023-09-29,7513
2023-09-30,6490
2023-10-01,6325
2023-10-02,7790
2023-10-03,16969
2023-10-04,13700
2023-10-05,13532
2023-10-06,10904
2023-10-07,8519
2023-10-08,7408
2023-10-09,8350
2023-10-10,12571
2023-10-11,8760
2023-10-12,9914
