type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-07-18T08:12:52.984+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-07-18T08:12:53.365+00:00,null
CALORIES_BURNED_GOAL,DAILY,3190.0,13.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-14,2024-04-15,2022-07-17T12:12:58.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-14,2024-04-15,2022-07-17T12:12:58.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-14,2024-04-15,2022-07-17T12:12:58.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-14,2024-04-15,2022-07-17T12:12:58.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-14,2024-04-15,2022-07-17T12:12:58.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,17950.0,INPROGRESS_SO_FAR_MISSED,true,2024-04-08,2024-04-15,2022-07-17T12:12:58.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,8.77624,INPROGRESS_SO_FAR_MISSED,false,2024-04-08,2024-04-15,2022-07-17T12:12:58.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,15.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-08,2024-04-15,2022-07-17T12:12:58.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,22330.0,15578.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-08,2024-04-15,2022-07-17T12:12:58.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-07-17,2022-07-24,2022-07-17T12:12:58.000+00:00,null
